capture,mb,seconds,n_flows,ms_per_flow,mb_per_s,ref_flows,ref_ms_per_flow,speedup_vs_ref,parse_n_records,parse_n_parsed,parse_n_skipped_link,parse_n_skipped_not_ipv4,parse_n_skipped_ip_options,parse_n_skipped_proto,parse_coverage,eq_n_fast,eq_n_ref,eq_n_keys_fast_only,eq_n_keys_ref_only,eq_n_keys_both,eq_n_pkt_mismatch,eq_n_byte_mismatch,eq_total_pkts_fast,eq_total_pkts_ref,eq_comparable,eq_agrees
ddos_icmp_hping3,224.211674,0.7776089000108186,1199,0.6485478732367128,288.3347579958005,1406,37.338,57.57169445897179,409452,408101,1,1350,0,156307,0.9967004679425183,1199.0,1406.0,0.0,56.0,909.0,34.0,34.0,408101.0,408176.0,True,False
ddos_udp_hping3,446.950202,4.517637099997955,37367,0.12089911151545361,98.93450759916114,38340,4.49,37.13840361371123,2007579,2005160,2,2417,0,266476,0.9987950660970253,,,,,,,,,,,
ddos_syn_hping3,1452.547341,34.23634160000074,191276,0.17898921767498663,42.427060635473055,191326,6.901,38.55539506592525,14843551,14842873,0,678,0,66800,0.999954323598174,,,,,,,,,,,
