model,f1_macro,recall,fpr,corpus_precision,alerts_h,false_alerts_h,ppv,alerts_100k
rf,0.852312796501111,0.9535913247322532,0.26186342505520954,0.9262917244228099,63305.863131358,62847.2220132503,0.08140376051772985,26377.442971399163
mlp,0.8472180537303526,0.9371886843006914,0.23383498485405715,0.9328876268476101,56571.14843758327,56120.39636497372,0.03631630462935433,23571.311848993028
hgb,0.8439483796239365,0.9445829822870028,0.25691406150761514,0.9281301010019396,62113.68321022218,61659.374761827625,0.1291491289727109,25880.701337592574
xgboost,0.8380956354559059,0.9306345304259545,0.24673138762717498,0.9295148149047983,59663.13280467475,59215.53303052198,0.2184522397703433,24859.63866861448
logreg,0.743517978319484,0.7980259269916067,0.21772444383303227,0.9296671209480127,52637.686605053976,52253.866519927746,0.08145559437407827,21932.369418772487
majority,0.4335233150911007,1.0,1.0,0.7657588177641612,240480.96192384773,240000.0,0.002,100200.4008016032
