protocol,model,split_seed,model_seed,n_train,n_test,train_prevalence,test_prevalence,n_unseen_test_categories,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
random,majority,101,11,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,434,128,0,0,0.7722419928825622,0.5,0.7722419928825622,1.0,0.8714859437751004,0.4357429718875502,0.0,1.0,0.0,0.0,0.5,0.7722419928825622,0.2277580071174377,0.2277580071174377
random,majority,101,22,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,434,128,0,0,0.7722419928825622,0.5,0.7722419928825622,1.0,0.8714859437751004,0.4357429718875502,0.0,1.0,0.0,0.0,0.5,0.7722419928825622,0.2277580071174377,0.2277580071174377
random,stratified,101,11,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,332,99,29,102,0.6423487544483986,0.4957697292626728,0.7703016241299304,0.7649769585253456,0.7676300578034682,0.49578414087084605,-0.008392159423749029,0.7734375,0.2350230414746544,0.2265625,0.4957697292626728,0.7707576554957564,0.2263116408818016,0.35765124555160144
random,stratified,101,22,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,337,99,29,97,0.6512455516014235,0.5015300979262673,0.7729357798165137,0.7764976958525346,0.774712643678161,0.5015295501855371,0.003077305085926365,0.7734375,0.22350230414746544,0.2265625,0.5015300979262673,0.7727807168381882,0.22830192093148052,0.3487544483985765
random,logreg,101,11,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,377,18,110,57,0.8665480427046264,0.864019297235023,0.9544303797468354,0.868663594470046,0.9095295536791315,0.8276461327717691,0.6681092255847098,0.140625,0.1313364055299539,0.859375,0.938040034562212,0.9775845471954929,0.8794769843706026,0.09592055971910135
random,logreg,101,22,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,377,18,110,57,0.8665480427046264,0.864019297235023,0.9544303797468354,0.868663594470046,0.9095295536791315,0.8276461327717691,0.6681092255847098,0.140625,0.1313364055299539,0.859375,0.938040034562212,0.9775845471954929,0.8794769843706026,0.09592055971910135
random,tree,101,11,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,430,9,119,4,0.9768683274021353,0.9602354550691244,0.979498861047836,0.9907834101382489,0.9851088201603666,0.9666579957375538,0.9336306522229497,0.0703125,0.009216589861751152,0.9296875,0.9596324164746544,0.9771876782652378,0.9265831524321126,0.022814354350572774
random,tree,101,22,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,430,9,119,4,0.9768683274021353,0.9602354550691244,0.979498861047836,0.9907834101382489,0.9851088201603666,0.9666579957375538,0.9336306522229497,0.0703125,0.009216589861751152,0.9296875,0.9596324164746544,0.9771876782652378,0.9265831524321126,0.022814354350572774
random,rf,101,11,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,433,12,116,1,0.9768683274021353,0.9519729262672811,0.9730337078651685,0.9976958525345622,0.9852104664391353,0.9660746209746698,0.9337257368592772,0.09375,0.002304147465437788,0.90625,0.9981278801843319,0.9994482682405006,0.9941290161009783,0.020143432578383327
random,rf,101,22,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,433,10,118,1,0.9804270462633452,0.9597854262672811,0.9774266365688488,0.9976958525345622,0.9874572405929305,0.9714614138187325,0.9439732831621102,0.078125,0.002304147465437788,0.921875,0.9977678571428572,0.999333686393016,0.9933637418845506,0.01966556859654017
random,xgboost,101,11,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,431,7,121,3,0.9822064056939501,0.9692000288018433,0.9840182648401826,0.9930875576036866,0.9885321100917431,0.9744247852046017,0.9490519317766642,0.0546875,0.0069124423963133645,0.9453125,0.998523905529954,0.9995566926676541,0.9956702899657982,0.01174890249967575
random,xgboost,101,22,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,432,9,119,2,0.9804270462633452,0.9625396025345623,0.9795918367346939,0.9953917050691244,0.9874285714285714,0.9716259323006311,0.9438800094533684,0.0703125,0.004608294930875576,0.9296875,0.9983618951612903,0.9995119832312204,0.9950473333666967,0.012774182483553886
random,hgb,101,11,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,433,7,121,1,0.9857651245551602,0.9715041762672811,0.9840909090909091,0.9976958525345622,0.9908466819221968,0.9794233409610984,0.9593103618047386,0.0546875,0.002304147465437788,0.9453125,0.9994239631336406,0.9998296529666271,0.9981688410370858,0.010396602501852549
random,hgb,101,22,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,433,7,121,1,0.9857651245551602,0.9715041762672811,0.9840909090909091,0.9976958525345622,0.9908466819221968,0.9794233409610984,0.9593103618047386,0.0546875,0.002304147465437788,0.9453125,0.9994239631336406,0.9998296529666271,0.9981688410370858,0.010396602501852549
random,mlp,101,11,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,412,4,124,22,0.9537366548042705,0.9590293778801844,0.9903846153846154,0.9493087557603687,0.9694117647058823,0.9372606268784887,0.8780054937147016,0.03125,0.05069124423963134,0.96875,0.9951216877880183,0.9985393708920252,0.9860120102224483,0.03167159855365753
random,mlp,101,22,2246,562,0.7626892252894034,0.7722419928825622,0,0.5,414,5,123,20,0.9555160142348754,0.9574272753456221,0.9880668257756563,0.9539170506912442,0.9706916764361079,0.9392203769634414,0.8809005315792182,0.0390625,0.04608294930875576,0.9609375,0.9958597350230415,0.9987391790842268,0.988671995880345,0.03311050683259964
