model,split_seed,domain,group,tau,tp,fp,fn,tn
stratified,106,source_heldout,fe80::215:5dff:fe6b:d90c,0.7,87,69,7,5
stratified,106,source_heldout,fe80::215:5dff:fe6b:d90c,0.75,87,69,7,5
stratified,106,source_heldout,fe80::215:5dff:fe6b:d90c,0.8,87,69,7,5
stratified,106,source_heldout,fe80::215:5dff:fe6b:d90c,0.85,87,69,7,5
stratified,106,source_heldout,fe80::215:5dff:fe6b:d90c,0.9,87,69,7,5
stratified,106,source_heldout,fe80::215:5dff:fe6b:d90c,0.95,87,69,7,5
stratified,106,source_heldout,fe80::215:5dff:fe6b:d90c,0.975,87,69,7,5
stratified,106,source_heldout,fe80::215:5dff:fe6b:d90c,0.99,87,69,7,5
stratified,106,source_heldout,fe80::215:5dff:fe6b:d90c,0.995,87,69,7,5
stratified,106,source_heldout,fe80::215:5dff:fe6b:d90c,0.999,87,69,7,5
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.05,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.1,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.15,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.2,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.25,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.3,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.35,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.4,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.45,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.5,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.55,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.6,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.65,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.7,0,1,0,0
