rung,feature_set,split,seed,model,n_train,n_test,test_prevalence,accuracy,balanced_accuracy,f1_macro,recall,fpr,roc_auc,tp,fp,tn,fn,fit_s,predict_s
R0,published_top10,rep0,11,dt,851123,364767,0.6067352583978266,0.9995750712098408,0.9995553959794155,0.9995547833593121,0.9996475643533935,0.0005367723945625654,0.9995553959794156,221239,77,143373,78,9.11,0.07
R0,published_top10,rep0,11,rf,851123,364767,0.6067352583978266,0.9995887785901685,0.9995630129972295,0.9995691393739417,0.9996837115991993,0.0005576856047403276,0.9999559623326737,221247,80,143370,70,33.91,0.54
R0,published_top10,rep0,11,knn,851123,364767,0.6067352583978266,0.9990048441882078,0.9988451206792542,0.9989570957501827,0.9995933434846849,0.001903102126176368,0.9997389144061394,221227,273,143177,90,4.58,19.28
R0,published_top10,rep0,11,nb,851123,364767,0.6067352583978266,0.9273782990237603,0.9311389484048982,0.9249142264163257,0.9135222328153734,0.05124433600557685,0.9638542414410776,202178,7351,136099,19139,0.4,0.19
R0,published_top10,rep0,11,mlp,851123,364767,0.6067352583978266,0.9986265204911629,0.9984193017926701,0.9985605347774398,0.9993900152270273,0.002551411641686999,0.9999520075701077,221182,366,143084,135,1049.82,0.7
