[a_to_b__transferable__source_only] source d_a_network (1640182, 46) attack 0.9463
  seed 116 [16/20] tree       src 0.444  1.3s
  seed 116 [16/20] rf         src 0.500  14.3s
  seed 116 [16/20] xgboost    src 0.503  10.8s
  seed 116 [16/20] hgb        src 0.504  20.1s
  seed 116 [16/20] mlp        src 0.598  707.4s
  seed 117 [17/20] majority   src 0.490  0.1s
  seed 117 [17/20] stratified src 0.500  0.2s
  seed 117 [17/20] logreg     src 0.823  2.7s
  seed 117 [17/20] tree       src 0.772  1.3s
  seed 117 [17/20] rf         src 0.854  14.0s
  seed 117 [17/20] xgboost    src 0.772  9.9s
  seed 117 [17/20] hgb        src 0.772  16.5s
  seed 117 [17/20] mlp        src 0.833  198.2s
  seed 118 [18/20] majority   src 0.489  0.1s
  seed 118 [18/20] stratified src 0.499  0.1s
  seed 118 [18/20] logreg     src 0.701  2.8s
  seed 118 [18/20] tree       src 0.802  1.9s
  seed 118 [18/20] rf         src 0.853  12.8s
  seed 118 [18/20] xgboost    src 0.776  6.8s
  seed 118 [18/20] hgb        src 0.795  9.7s
  seed 118 [18/20] mlp        src 0.718  104.5s
  seed 119 [19/20] majority   src 0.491  0.2s
  seed 119 [19/20] stratified src 0.498  0.2s
  seed 119 [19/20] logreg     src 0.692  2.1s
  seed 119 [19/20] tree       src 0.699  0.6s
  seed 119 [19/20] rf         src 0.750  5.9s
  seed 119 [19/20] xgboost    src 0.678  3.5s
  seed 119 [19/20] hgb        src 0.675  6.2s
  seed 119 [19/20] mlp        src 0.700  51.6s
  seed 120 [20/20] majority   src 0.488  0.1s
  seed 120 [20/20] stratified src 0.500  0.1s
  seed 120 [20/20] logreg     src 0.811  2.0s
  seed 120 [20/20] tree       src 0.825  0.7s
  seed 120 [20/20] rf         src 0.845  8.1s
  seed 120 [20/20] xgboost    src 0.807  4.9s
  seed 120 [20/20] hgb        src 0.838  5.8s
  seed 120 [20/20] mlp        src 0.765  255.7s

wrote E:\Work\New ORAN paper\oran-ids-deployability\results\EXP-047\a_to_b__transferable__source_only  (6275s)
EXIT 0
