feature_set,n,n_distinct,share_in_conflicting_vectors,share_benign_in_conflicting,share_attack_in_conflicting,lookup_ba_upper_bound,lookup_tpr,lookup_tnr
shared18,1215890,246281,0.6240005263634046,0.5972616732637414,0.6413060706926613,0.7530428083755447,0.810407869371255,0.6956777473798346
native,1215890,374936,0.5200947454128252,0.5892886671955491,0.47531202880703594,0.7655306781942697,0.5938281088067108,0.9372332475818285
