model,split_seed,domain,group,tau,tp,fp,fn,tn
majority,101,source_heldout,172.16.0.3,0.975,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.99,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.995,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.999,32970,467,0,0
majority,101,source_heldout,172.18.0.1,0.05,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.1,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.15,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.2,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.25,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.3,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.35,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.4,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.45,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.5,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.55,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.6,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.65,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.7,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.75,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.8,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.85,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.9,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.95,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.975,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.99,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.995,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.999,0,2,0,0
majority,101,source_heldout,172.18.139.27,0.05,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.1,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.15,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.2,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.25,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.3,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.35,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.4,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.45,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.5,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.55,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.6,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.65,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.7,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.75,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.8,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.85,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.9,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.95,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.975,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.99,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.995,8960,1197,0,0
majority,101,source_heldout,172.18.139.27,0.999,8960,1197,0,0
majority,101,source_heldout,172.19.0.1,0.05,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.1,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.15,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.2,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.25,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.3,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.35,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.4,37,10,0,0
