layer,model,stage,p99,p99_hi,min_budget_ms_upper_ci
platform,FLOOR,no_op,0.0013,0.0013,1
radio,-,window_aggregation,0.07490299999999951,0.0807,1
radio,tree,sk_dataframe,0.5629099999999984,0.5885,1
radio,tree,sk_array,0.062,0.068,1
radio,tree,onnx,0.034,0.0344,1
radio,tree,e2e_aggregate_plus_onnx,0.18820599999999904,0.1962,1
radio,tree,e2e_aggregate_plus_sk_array,0.3019099999999984,0.3245,1
radio,logreg,sk_dataframe,1.0813019999999995,1.1034,2
radio,logreg,sk_array,0.3944,0.4063,1
radio,logreg,onnx,0.04340099999999984,0.0453,1
radio,logreg,e2e_aggregate_plus_onnx,0.21490799999999874,0.2407,1
radio,logreg,e2e_aggregate_plus_sk_array,0.44300399999999934,0.4631,1
radio,xgboost,sk_array_all_threads,2.736063,3.1263,5
radio,xgboost,sk_dataframe,1.968136999999994,2.0317,5
radio,xgboost,sk_array,0.5215009999999998,0.5345,1
radio,xgboost,onnx,0.0438,0.0475,1
radio,xgboost,e2e_aggregate_plus_onnx,0.3366049999999992,0.3608,1
radio,xgboost,e2e_aggregate_plus_sk_array,0.6610049999999992,0.6784,1
radio,mlp,sk_dataframe,0.9431019999999998,0.9714,1
radio,mlp,sk_array,0.2592029999999995,0.2739,1
radio,mlp,onnx,0.04770099999999984,0.0483,1
radio,mlp,e2e_aggregate_plus_onnx,0.12600099999999984,0.1307,1
radio,mlp,e2e_aggregate_plus_sk_array,0.38710599999999906,0.4105,1
radio,hgb,sk_dataframe,2.3934,2.4225,5
radio,hgb,sk_array,1.680701,1.6946,2
radio,hgb,onnx,0.0384,0.04,1
radio,hgb,e2e_aggregate_plus_onnx,0.17820099999999983,0.1898,1
radio,hgb,e2e_aggregate_plus_sk_array,2.0041219999999966,2.0366,5
radio,rf,sk_array_all_threads,53.563382999999995,57.6163,100
radio,rf,sk_dataframe,18.345102999999984,18.996,20
radio,rf,sk_array,14.91412099999998,15.0779,20
radio,rf,onnx,0.0381,0.0387,1
radio,rf,e2e_aggregate_plus_onnx,0.13720099999999982,0.1465,1
radio,rf,e2e_aggregate_plus_sk_array,13.740839999999993,13.8667,20
