direction,model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
a_to_b,majority,101,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,101,0.06172028065709932,477736,0.9385444886183725,682152,0.9366975589721612,56001
a_to_b,logreg,101,0.9787979134919704,477736,0.15119504157431188,682152,0.7140943911715862,56001
a_to_b,tree,101,0.357827335599578,477736,0.8545866610374228,682152,0.28220924626345956,56001
a_to_b,rf,101,0.3461451512969506,477736,0.8328510361327094,682152,0.28310208746272386,56001
a_to_b,xgboost,101,0.691915618668051,477736,0.507288698120067,682152,0.27931644077784323,56001
a_to_b,hgb,101,0.3770094780380796,477736,0.7521989234070999,682152,0.27999500008928413,56001
a_to_b,mlp,101,0.10479218647956193,477736,0.857454057160281,682152,0.28590560882841376,56001
a_to_b,majority,102,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,102,0.061368622000435386,477736,0.9389417607805884,682152,0.9370011249799111,56001
a_to_b,logreg,102,0.9860027295410018,477736,0.15527477746895121,682152,0.3604042784950269,56001
a_to_b,tree,102,0.36056106301388213,477736,0.7659070119269605,682152,0.283298512526562,56001
a_to_b,rf,102,0.3283235929467321,477736,0.8975184416376408,682152,0.28492348350922303,56001
a_to_b,xgboost,102,0.3865817104007234,477736,0.7973164338739753,682152,0.28047713433688687,56001
a_to_b,hgb,102,0.38738131520337593,477736,0.7587663746496383,682152,0.279798575025446,56001
a_to_b,mlp,102,0.07528844382671601,477736,0.9360406478321547,682152,0.997750040177854,56001
a_to_b,majority,103,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,103,0.055846743808295796,477736,0.9443774994429394,682152,0.942679595007232,56001
a_to_b,logreg,103,0.9848933302074786,477736,0.2572300601625444,682152,0.3606364172068356,56001
a_to_b,tree,103,0.3788117286534823,477736,0.7743215588314628,682152,0.28008428420921055,56001
a_to_b,rf,103,0.3366126898538105,477736,0.8702283362065932,682152,0.2835127944143855,56001
a_to_b,xgboost,103,0.39654327913324516,477736,0.8094149104598388,682152,0.2800128569132694,56001
a_to_b,hgb,103,0.3863640169465981,477736,0.8207877423213594,682152,0.2801378546811664,56001
a_to_b,mlp,103,0.070201952542827,477736,0.9345336523238222,682152,0.9994464384564561,56001
a_to_b,majority,104,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,104,0.0741916037309309,477736,0.9259710445765753,682152,0.9242156390064463,56001
a_to_b,logreg,104,0.9666384781552991,477736,0.2607981798777985,682152,0.7164872055856145,56001
a_to_b,tree,104,0.6466123549408042,477736,0.422090677737513,682152,0.357975750433028,56001
a_to_b,rf,104,0.6562641291424552,477736,0.4386998792058075,682152,0.0033927965572043356,56001
a_to_b,xgboost,104,0.9955770551099352,477736,0.01920832893548652,682152,0.00028570918376457564,56001
a_to_b,hgb,104,0.9770752047155751,477736,0.03283579026375353,682152,0.0041249263406010605,56001
a_to_b,mlp,104,0.8898931627509754,477736,0.11746355650939966,682152,0.0012678345029553044,56001
a_to_b,majority,105,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,105,0.07573429676641492,477736,0.9244347300894815,682152,0.9224835270798736,56001
a_to_b,logreg,105,0.9677583435202706,477736,0.2578223035335233,682152,0.7159872145140266,56001
a_to_b,tree,105,0.373325434968267,477736,0.7908472012102874,682152,0.2791021588900198,56001
a_to_b,rf,105,0.3549094060317832,477736,0.846887497214697,682152,0.2834949375904002,56001
a_to_b,xgboost,105,0.4065299663412429,477736,0.7320523871512508,682152,0.27844145640256424,56001
a_to_b,hgb,105,0.40155022857812683,477736,0.7529128405399383,682152,0.278923590650167,56001
a_to_b,mlp,105,0.25664174355711106,477736,0.9344486272854144,682152,0.9960357850752665,56001
a_to_b,majority,106,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,106,0.0600708341008423,477736,0.9402464553354678,682152,0.938304673130837,56001
a_to_b,logreg,106,0.9767423849155182,477736,0.25947149608884823,682152,0.7159872145140266,56001
