direction,model,split_seed,benign,benign__n,bruteforce,bruteforce__n,ddos,ddos__n,dos,dos__n,probe,probe__n,web,web__n
b_to_a,majority,101,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,101,0.3921927174431547,88046,0.6023944549464398,28566,0.6073445924403139,420282,0.6071711459319817,632507,0.608735740044628,183293,0.6077088434995548,287488
b_to_a,logreg,101,0.7387388410603548,88046,0.5326612056290695,28566,0.9595105191276333,420282,0.8340018371338183,632507,0.921366336957767,183293,0.28763287511130897,287488
b_to_a,tree,101,0.7900756422779002,88046,0.47987117552334946,28566,0.4613687952374834,420282,0.5565946305732585,632507,0.46746466040710777,183293,0.01525281055209261,287488
b_to_a,rf,101,0.920053154033119,88046,0.3450605615066863,28566,0.4415202173778558,420282,0.38015231451983933,632507,0.7982956250375083,183293,0.005001947907390917,287488
b_to_a,xgboost,101,0.9078777002930286,88046,0.3598333683399846,28566,0.7506388567675989,420282,0.6354981051593105,632507,0.8668961717032293,183293,0.004970642252894034,287488
b_to_a,hgb,101,0.8888308384253686,88046,0.31901561296646364,28566,0.6433537481976387,420282,0.5446516797442558,632507,0.6072463214634493,183293,0.0053289180765805876,287488
b_to_a,mlp,101,0.8618790177861573,88046,0.3979556115661976,28566,0.5502020072237213,420282,0.5385284273533731,632507,0.48115858216080265,183293,0.004358442787177204,287488
b_to_a,majority,102,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,102,0.39221543284192356,88046,0.6023594482951761,28566,0.6073017640536592,420282,0.6071411067387397,632507,0.6086866383331606,183293,0.6076705810329475,287488
b_to_a,logreg,102,0.7427708243418213,88046,0.5280053210109921,28566,0.959553347514288,420282,0.834033457337231,632507,0.9209517002831532,183293,0.2873372105966162,287488
b_to_a,tree,102,0.7884060604683916,88046,0.5205489042918154,28566,0.8694257665091534,420282,0.8254422480699818,632507,0.9199478430709301,183293,0.010268254674977738,287488
b_to_a,rf,102,0.8908184358176408,88046,0.3563327032136106,28566,0.48520993047525235,420282,0.389742722214932,632507,0.48380461883432535,183293,0.0050610808103294744,287488
b_to_a,xgboost,102,0.8782795356972491,88046,0.4233004270811454,28566,0.8784268657710775,420282,0.762725155610926,632507,0.9125553076222224,183293,0.00635504786286732,287488
b_to_a,hgb,102,0.8840606046839152,88046,0.24756703773717006,28566,0.9065579777387563,420282,0.7800403789997581,632507,0.9172308817030655,183293,0.004935858192341941,287488
b_to_a,mlp,102,0.8623446834609182,88046,0.3984106980326262,28566,0.9317458278013334,420282,0.7774301312080341,632507,0.8887900792719853,183293,0.004114954363312556,287488
b_to_a,majority,103,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,103,0.3909433705108693,88046,0.6033046278792971,28566,0.6085533046859014,420282,0.6084406970990044,632507,0.6099687385770324,183293,0.6089506344612645,287488
b_to_a,logreg,103,0.742679962746746,88046,0.5159630329762654,28566,0.9600506326704451,420282,0.8353947070941508,632507,0.9211917530947717,183293,0.29332006901157615,287488
b_to_a,tree,103,0.7839538423097018,88046,0.4322971364559266,28566,0.4864971614297067,420282,0.4102515861484537,632507,0.4721238672507952,183293,0.19592817787177205,287488
b_to_a,rf,103,0.8726347591031961,88046,0.3546173773016873,28566,0.4365973322673824,420282,0.38031199654707376,632507,0.4761774863197176,183293,0.00569762911843277,287488
b_to_a,xgboost,103,0.8789382822615451,88046,0.3775467338794371,28566,0.8873042385826659,420282,0.7373325512603023,632507,0.9175636821919004,183293,0.004758459483526269,287488
b_to_a,hgb,103,0.8464552620221248,88046,0.3342084996149268,28566,0.65602381258298,420282,0.525625803350793,632507,0.8841581511568909,183293,0.004869768477292966,287488
b_to_a,mlp,103,0.8312018717488585,88046,0.4036266890709235,28566,0.9270442226885758,420282,0.7778917861778605,632507,0.8892974636238155,183293,0.005022818343722172,287488
b_to_a,majority,104,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,104,0.39182927106285353,88046,0.6027445214590772,28566,0.6076777021142947,420282,0.6075063200881571,632507,0.6090794520249,183293,0.6081053817898486,287488
b_to_a,logreg,104,0.681995774935829,88046,0.5991738430301757,28566,0.9649521035875912,420282,0.8646402332306203,632507,0.9248852929462663,183293,0.3080754674977738,287488
b_to_a,tree,104,0.8640596960679645,88046,0.39385983336833996,28566,0.8597037227385422,420282,0.7546746518220352,632507,0.8533386435924994,183293,0.00672723731077471,287488
b_to_a,rf,104,0.9035163437294141,88046,0.35419729748652246,28566,0.6089839679072623,420282,0.5078520870124758,632507,0.8529021839350112,183293,0.003923642030276046,287488
b_to_a,xgboost,104,0.899961383822093,88046,0.348736259889379,28566,0.8742439600078042,420282,0.8105364841812027,632507,0.8796626166847615,183293,0.0035131901157613534,287488
b_to_a,hgb,104,0.8501578720214433,88046,0.4287964713295526,28566,0.7316944337373478,420282,0.733131807236916,632507,0.6769871189843584,183293,0.004970642252894034,287488
b_to_a,mlp,104,0.8542920745973696,88046,0.4651333753413148,28566,0.8853912373120905,420282,0.7493403235063011,632507,0.885380238197858,183293,0.004887160507569012,287488
b_to_a,majority,105,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,105,0.39222679054130793,88046,0.6023594482951761,28566,0.6072946259892168,420282,0.6071300396675452,632507,0.608681182587442,183293,0.6076531890026714,287488
b_to_a,logreg,105,0.7397496763055675,88046,0.529895680179234,28566,0.9600910817022856,420282,0.8340587534999613,632507,0.9211972088404904,183293,0.2875250445235975,287488
b_to_a,tree,105,0.79810553574268,88046,0.46355807603444654,28566,0.46227057071204575,420282,0.35111548172589396,632507,0.48683801345386896,183293,0.00813947016918967,287488
