model,split_seed,tau,pi,lambda_b,alerts_per_hour,true_alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,ppv,npv,fdr,missed_attacks_per_hour,recall,fpr,precision_corpus
logreg,101,0.1,0.001,240000.0,139638.02210701775,236.82450222734582,139401.19760479042,3351312.530568426,58182.509211257406,0.0016959886616400577,0.9999660470904492,0.9983040113383599,3.4157380128944195,0.985781990521327,0.5808383233532934,0.8109161793372319
logreg,101,0.1,0.002,240000.0,139875.32120744596,474.12360265554804,139401.19760479042,3357007.7089787032,58281.38383643582,0.00338961582760111,0.9999320284514521,0.9966103841723989,6.838321192147345,0.985781990521327,0.5808383233532934,0.8109161793372319
logreg,101,0.1,0.003,240000.0,140113.09633415387,711.8987293634457,139401.19760479042,3362714.3120196927,58380.45680589745,0.005080886426673833,0.9998979438919555,0.9949191135733262,10.267770135049725,0.985781990521327,0.5808383233532934,0.8109161793372319
logreg,101,0.1,0.01,240000.0,141790.97212726637,2389.774522475944,139401.19760479042,3402983.331054393,59079.57171969432,0.016854207899293972,0.9996574899964519,0.9831457921007061,34.467901766480054,0.985781990521327,0.5808383233532934,0.8109161793372319
logreg,101,0.1,0.03,240000.0,146718.3422767013,7317.144671910881,139401.19760479042,3521240.214640831,61132.642615292214,0.04987205115847901,0.9989520238907873,0.950127948841521,105.53574046025336,0.985781990521327,0.5808383233532934,0.8109161793372319
logreg,101,0.1,0.1,240000.0,165688.7173520258,26287.519747235383,139401.19760479042,3976529.216448619,69036.96556334409,0.15865606401783144,0.9962452503541156,0.8413439359821686,379.14691943128054,0.985781990521327,0.5808383233532934,0.8109161793372319
logreg,101,0.15000000000000002,0.0001,240000.0,60382.7150601089,23.433622983151395,60359.28143712575,1449185.1614426137,25159.464608378705,0.0003880849504667691,0.9999968338166281,0.9996119150495333,0.5687772568726073,0.976303317535545,0.25149700598802394,0.9074889867841409
logreg,101,0.15000000000000002,0.0003,240000.0,60429.59637046831,70.31493334256201,60359.28143712575,1450310.3128912393,25178.998487695128,0.0011635843620647552,0.9999904996097824,0.9988364156379352,1.7066731393825747,0.976303317535545,0.25149700598802394,0.9074889867841409
logreg,101,0.15000000000000002,0.001,240000.0,60593.82878067783,234.54734355208288,60359.28143712575,1454251.890736268,25247.42865861576,0.00387081239578106,0.9999683105460226,0.996129187604219,5.692896688157357,0.976303317535545,0.25149700598802394,0.9074889867841409
logreg,101,0.15000000000000002,0.002,240000.0,60828.84615898653,469.56472186078315,60359.28143712575,1459892.3078156768,25345.352566244386,0.0077194415398492994,0.9999365596005457,0.9922805584601507,11.397201986912224,0.976303317535545,0.25149700598802394,0.9074889867841409
logreg,101,0.15000000000000002,0.003,240000.0,61064.33498639916,705.0535492734126,60359.28143712575,1465544.0396735799,25443.472910999648,0.011546077582445613,0.9999047469844151,0.9884539224175544,17.112950225082848,0.976303317535545,0.25149700598802394,0.9074889867841409
logreg,101,0.15000000000000002,0.01,240000.0,62726.07735842404,2366.795921298291,60359.28143712575,1505425.856602177,26135.865566010012,0.03773224822866168,0.9996803166970397,0.9622677517713383,57.446502944133336,0.976303317535545,0.25149700598802394,0.9074889867841409
logreg,101,0.15000000000000002,0.03,240000.0,67606.0689487298,7246.787511604046,60359.28143712575,1622545.6547695152,28169.19539530408,0.10719137533495358,0.9990218206241605,0.8928086246650464,175.89290076708866,0.976303317535545,0.25149700598802394,0.9074889867841409
logreg,101,0.15000000000000002,0.1,240000.0,86394.03657140695,26034.755134281197,60359.28143712575,2073456.8777137669,35997.51523808623,0.30134898388227044,0.9964946895596322,0.6986510161177295,631.9115323854666,0.976303317535545,0.25149700598802394,0.9074889867841409
logreg,101,0.2,0.0001,240000.0,28765.43669351185,22.92172345196605,28742.51497005988,690370.4806442844,11985.598622296602,0.0007968494862842159,0.9999948845776527,0.9992031505137158,1.080676788057952,0.9549763033175356,0.11976047904191617,0.9527186761229315
logreg,101,0.2,0.0003,240000.0,28811.293897576998,68.77892751711771,28742.51497005988,691471.053541848,12004.705790657083,0.0023872210585759897,0.9999846508198661,0.997612778941424,3.2426789648268866,0.9549763033175356,0.11976047904191617,0.9527186761229315
logreg,101,0.2,0.001,240000.0,28971.938706592624,229.4237365327413,28742.51497005988,695326.528958223,12071.641127746925,0.007918825828543377,0.9999488020510935,0.9920811741714566,10.81650370749896,0.9549763033175356,0.11976047904191617,0.9527186761229315
logreg,101,0.2,0.002,240000.0,29201.822210132443,459.3072400725622,28742.51497005988,700843.7330431787,12167.425920888518,0.015728718460356624,0.9998975067590465,0.9842712815396434,21.65468377513319,0.9549763033175356,0.11976047904191617,0.9527186761229315
logreg,101,0.2,0.003,240000.0,29432.16686413072,689.6518940708381,28742.51497005988,706372.0047391372,12263.402860054466,0.02343191030597628,0.9998461138459759,0.9765680896940238,32.51460542765735,0.9549763033175356,0.11976047904191617,0.9527186761229315
logreg,101,0.2,0.01,240000.0,31057.60903870845,2315.0940686485715,28742.51497005988,745382.6169290028,12940.670432795188,0.07454192838100218,0.9994836065000158,0.9254580716189978,109.14835559385315,0.9549763033175356,0.11976047904191617,0.9527186761229315
logreg,101,0.2,0.03,240000.0,35830.99887097355,7088.483900913667,28742.51497005988,859943.9729033652,14929.582862905645,0.19783104362898463,0.9984205593101633,0.8021689563710154,334.19651145746786,0.9549763033175356,0.11976047904191617,0.9527186761229315
logreg,101,0.2,0.1,240000.0,54208.549725194156,25466.03475513428,28742.51497005988,1301005.1934046596,22586.895718830903,0.46977893495089385,0.9943488536525855,0.5302210650491062,1200.6319115323845,0.9549763033175356,0.11976047904191617,0.9527186761229315
logreg,101,0.25,0.0001,240000.0,17268.08943913377,22.580457097842487,17245.508982035928,414434.1465392105,7195.037266305737,0.0013076407310393919,0.9999936165863196,0.9986923592689606,1.4219431421815167,0.9407582938388626,0.0718562874251497,0.9706601466992665
logreg,101,0.25,0.0003,240000.0,17313.263905669417,67.75492363348816,17245.508982035928,415518.333736066,7213.8599606955895,0.0039134691183966225,0.9999808461723683,0.9960865308816034,4.266682848456433,0.9407582938388626,0.0718562874251497,0.9706601466992665
logreg,101,0.25,0.001,240000.0,17471.516980555774,226.00799851984686,17245.508982035928,419316.4075333386,7279.798741898239,0.012935797090279763,0.9999361120290491,0.9870642029097202,14.232241720393379,0.9407582938388626,0.0718562874251497,0.9706601466992665
logreg,101,0.25,0.002,240000.0,17697.977900916343,452.4689188804149,17245.508982035928,424751.4696219922,7374.157458715143,0.02556613650517597,0.9998721042134693,0.9744338634948241,28.493004967280534,0.9407582938388626,0.0718562874251497,0.9706601466992665
logreg,101,0.25,0.003,240000.0,17924.893105971718,679.3841239357884,17245.508982035928,430197.43454332126,7468.705460821548,0.03790171131951967,0.9998079762157271,0.9620982886804803,42.78237556270708,0.9407582938388626,0.0718562874251497,0.9706601466992665
logreg,101,0.25,0.01,240000.0,19526.13514891802,2280.626166882091,17245.508982035928,468627.24357403244,8135.889645382507,0.11679864701789001,0.9993556865102361,0.88320135298211,143.6162573603332,0.9407582938388626,0.0718562874251497,0.9706601466992665
logreg,101,0.25,0.03,240000.0,24228.45714248934,6982.948160453413,17245.508982035928,581482.9714197442,10095.190476037225,0.2882126632903689,0.9980298224323396,0.7117873367096311,439.73225191772127,0.9407582938388626,0.0718562874251497,0.9706601466992665
logreg,101,0.25,0.1,240000.0,42332.39681773893,25086.887835703,17245.508982035928,1015977.5236257344,17638.49867405789,0.5926167597765363,0.9929579246540107,0.4073832402234637,1579.7788309636649,0.9407582938388626,0.0718562874251497,0.9706601466992665
